[2013-06-27 14:32:07] WeeChat 0.4.1 (compiled on Jun 20 2013 19:08:54)
[2013-06-27 14:32:07] Reading configuration file weechat.conf
[2013-06-27 14:32:07] Reading configuration file plugins.conf
[2013-06-27 14:32:07] Reading configuration file alias.conf
[2013-06-27 14:32:07] Reading configuration file charset.conf
[2013-06-27 14:32:07] Reading configuration file irc.conf
[2013-06-27 14:32:07] Reading configuration file logger.conf
[2013-06-27 14:32:07] Reading configuration file relay.conf
[2013-06-27 14:32:07] Reading configuration file rmodifier.conf
[2013-06-27 14:32:07] Reading configuration file script.conf
[2013-06-27 14:32:07] Reading configuration file xfer.conf
[2013-06-27 14:32:14] irc: connecting to server chat.freenode.net/6667...
[2013-06-27 18:19:46] irc: connecting to server chat.freenode.net/6667...
[2013-06-27 18:32:00] irc: connecting to server chat.freenode.net/6667...
[2013-06-27 19:35:25] irc: connecting to server chat.freenode.net/6667...
[2013-06-27 19:36:55] irc: connecting to server chat.freenode.net/6667...
[2013-06-27 19:39:25] irc: connecting to server chat.freenode.net/6667...
[2013-06-27 19:43:55] irc: connecting to server chat.freenode.net/6667...
[2013-06-27 20:47:06] irc: connecting to server chat.freenode.net/6667...
[2013-06-27 21:03:06] irc: connecting to server chat.freenode.net/6667...
[2013-06-28 10:43:39] irc: connecting to server chat.freenode.net/6667...
[2013-06-28 10:44:39] irc: connecting to server chat.freenode.net/6667...
[2013-06-28 10:46:39] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 00:07:02] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 00:17:41] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 00:19:41] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 02:44:04] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 14:34:34] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 16:55:01] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 18:35:40] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 19:57:45] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 20:20:10] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 20:57:00] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 21:37:24] irc: connecting to server chat.freenode.net/6667...
[2013-06-29 21:38:24] irc: connecting to server chat.freenode.net/6667...
[2013-06-30 02:16:44] irc: connecting to server chat.freenode.net/6667...
[2013-06-30 04:04:49] irc: connecting to server chat.freenode.net/6667...
[2013-06-30 12:08:06] irc: connecting to server chat.freenode.net/6667...
[2013-06-30 13:28:55] irc: connecting to server chat.freenode.net/6667...
[2013-06-30 18:46:20] irc: connecting to server chat.freenode.net/6667...
[2013-06-30 19:51:03] irc: connecting to server chat.freenode.net/6667...
